business_id,name,categories,review_count,city,latitude,longitude
Pns2l4eNsfO8kk83dixA6A,"Abby Rappoport, LAC, CMQ","Doctors, Traditional Chinese Medicine, Naturopathic/Holistic, Acupuncture, Health & Medical, Nutritionists",7,Santa Barbara,,
mpf3x-BjTdTEA3yCZrAYPw,The UPS Store,"Shipping Centers, Local Services, Notaries, Mailbox Centers, Printing Services",15,Affton,,
tUFrWirKiKi_TAnsVWINQQ,Target,"Department Stores, Shopping, Fashion, Home & Garden, Electronics, Furniture Stores",22,Tucson,,
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",80,Philadelphia,,
mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,"Brewpubs, Breweries, Food",13,Green Lane,,
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,"Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants",6,Ashland City,,
n_0UpQx1hsNbnPUSlodU8w,Famous Footwear,"Sporting Goods, Fashion, Shoe Stores, Shopping, Sports Wear, Accessories",13,Brentwood,,
qkRM_2X51Yqxk3btlwAQIg,Temple Beth-El,"Synagogues, Religious Organizations",5,St. Petersburg,,
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,"Pubs, Restaurants, Italian, Bars, American (Traditional), Nightlife, Greek",19,Affton,,
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food",10,Nashville,,
UJsufbvfyfONHeWdvAHKjA,Marshalls,"Department Stores, Shopping, Fashion",6,Land O' Lakes,,
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,"Vietnamese, Food, Restaurants, Food Trucks",10,Tampa Bay,,
il_Ro8jwPlHresjw9EGmBg,Denny's,"American (Traditional), Restaurants, Diners, Breakfast & Brunch",28,Indianapolis,,
jaxMSoInw8Poo3XeMJt8lQ,Adams Dental,"General Dentistry, Dentists, Health & Medical, Cosmetic Dentists",10,Clearwater,,
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,"Food, Delis, Italian, Bakeries, Restaurants",100,Largo,,
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,"Sushi Bars, Restaurants, Japanese",245,Philadelphia,,
